symbol,name,price_usd,market_cap_usd,volume_24h_usd,percent_change_24h,percent_change_7d,technical_score,fundamental_score,sentiment_score,total_score,technical_weight,fundamental_weight,sentiment_weight,risk_profile,market_opportunity,recommendation,analysis_time,has_head_and_shoulders,has_inverse_head_and_shoulders,has_double_top,has_double_bottom,has_ascending_triangle,has_descending_triangle,has_symmetric_triangle,has_bullish_flag,has_bearish_flag,pattern_strength,has_bullish_divergence,has_bearish_divergence,bullish_divergence_strength,bearish_divergence_strength,rank
USDT,Tether USDt,1.0001579418312223,145302102886.78735,102460018672.91284,-0.0525816,0.01615434,81,86,37,71.5,0.45,0.3,0.25,Conservative,Good,Buy,2025-04-23 20:16:07,False,False,True,True,False,False,False,False,False,5,False,False,0,0,1
SUI,Sui,2.960003312624378,9619960151.33089,3095551508.6790347,20.72548478,42.30450888,69,64,71,68.0,0.45,0.3,0.25,Aggressive,Good,Strong Buy,2025-04-23 20:16:14,False,True,True,True,False,False,False,False,False,10,False,False,0,0,2
BTC,Bitcoin,93319.5373202996,1852879197236.4607,50380010181.92114,1.89303672,11.12448191,75,77,42,67.5,0.4,0.35,0.25,Conservative,Good,Strong Buy,2025-04-23 20:16:05,False,True,True,True,False,False,True,False,False,10,False,False,0,0,3
TRX,TRON,0.2455505152528274,23312970835.63493,757747946.7438862,-0.24676033,-2.18288406,79,62,28,61.2,0.45,0.3,0.25,Moderate,Moderate,Hold,2025-04-23 20:16:12,False,False,True,True,False,False,False,False,False,5,False,False,0,0,4
BNB,BNB,603.7528470514753,85063103909.6674,1879587848.9212496,-0.88899249,3.58004915,67,66,37,59.2,0.45,0.3,0.25,Conservative,Moderate,Hold,2025-04-23 20:16:08,False,False,True,True,False,False,False,False,False,2,False,False,0,0,5
SOL,Solana,149.5398474269203,77358981185.99165,5376334710.987209,3.25071349,15.40897505,59,63,46,57.0,0.45,0.3,0.25,Moderate,Moderate,Buy,2025-04-23 20:16:09,False,True,False,False,False,False,True,False,False,10,False,False,0,0,6
ETH,Ethereum,1787.959620808011,215830130938.0519,25578048200.48701,5.06839734,14.45979869,47,74,48,56.7,0.4,0.35,0.25,Conservative,Moderate,Buy,2025-04-23 20:16:06,False,True,True,True,False,False,False,False,False,8,False,False,0,0,7
XRP,XRP,2.2126977162949024,129208641277.9729,5786652529.500299,2.70908378,6.39936004,60,65,40,56.5,0.45,0.3,0.25,Conservative,Moderate,Hold,2025-04-23 20:16:08,False,True,True,True,False,False,False,False,False,4,False,False,0,0,8
LINK,Chainlink,14.846117163678874,9755383149.591995,578668109.5268118,7.08113515,22.16027439,61,49,55,55.9,0.45,0.3,0.25,Moderate,Moderate,Buy,2025-04-23 20:16:13,True,True,True,True,False,False,False,False,False,10,False,False,0,0,9
AVAX,Avalanche,22.25968018286576,9262019012.82661,489479689.2361204,2.73927569,18.5621714,63,51,48,55.6,0.45,0.3,0.25,Moderate,Moderate,Buy,2025-04-23 20:16:15,False,True,True,True,False,False,True,False,False,10,False,False,0,0,10
DOGE,Dogecoin,0.1789573994101661,26660262039.944504,2095255293.578251,4.1409266,16.8336625,56,55,48,53.7,0.45,0.3,0.25,Moderate,Moderate,Hold,2025-04-23 20:16:11,False,True,False,True,False,False,False,False,False,6,False,False,0,0,11
USDC,USDC,1.000055072989368,61633960134.18783,15803318972.037155,-0.00590637,0.01925935,43,79,36,52.0,0.45,0.3,0.25,Moderate,Moderate,Hold,2025-04-23 20:16:10,False,False,True,True,False,False,False,False,False,5,False,False,0,0,12
ADA,Cardano,0.6979514906408542,24630917603.87845,1096396729.5527978,6.0822133,15.21081933,51,52,49,50.8,0.45,0.3,0.25,Moderate,Moderate,Hold,2025-04-23 20:16:11,False,True,False,True,False,False,False,False,False,6,False,False,0,0,13
XLM,Stellar,0.2671658906307084,8244013961.031562,312238642.5652444,2.74065509,13.64453871,53,49,46,50.0,0.45,0.3,0.25,Moderate,Moderate,Buy,2025-04-23 20:16:17,False,True,False,True,False,False,False,False,False,7,False,False,0,0,14
LEO,UNUS SED LEO,9.07536218910776,8382250087.177865,4912267.44292214,0.72862397,-3.49971121,37,49,28,38.4,0.45,0.3,0.25,Moderate,Limited,Sell,2025-04-23 20:16:16,False,False,True,True,False,True,False,False,False,7,False,False,0,0,15
